,S BET(m2/g),Vtotal (cm3/g),Vmicro (cm3/g),T(oC),P(bar),CO2uptake (mmol/g)
552,763.0,0.06,0.33,0.0,0.15,1.9
553,763.0,0.06,0.33,0.0,0.4,3.2
554,763.0,0.06,0.33,0.0,0.7,4.2
555,763.0,0.06,0.33,0.0,1.0,4.75
556,1160.0,0.08,0.52,0.0,0.15,2.4
557,1160.0,0.08,0.52,25.0,0.15,1.5
558,1160.0,0.08,0.52,50.0,0.15,0.8
559,1160.0,0.08,0.52,120.0,0.15,0.2
560,1160.0,0.08,0.52,0.0,1.0,6.3
561,1160.0,0.08,0.52,25.0,1.0,4.7
562,1160.0,0.08,0.52,50.0,1.0,3.1
563,1160.0,0.08,0.52,120.0,1.0,1.1
564,1160.0,0.08,0.52,0.0,0.5,4.7
565,1160.0,0.08,0.52,25.0,0.5,3.2
566,1160.0,0.08,0.52,50.0,0.5,1.9
567,1160.0,0.08,0.52,120.0,0.5,0.5
568,2130.0,0.32,0.78,0.0,0.15,2.0
569,2130.0,0.32,0.78,0.0,0.4,3.65
570,2130.0,0.32,0.78,0.0,0.7,5.5
571,2130.0,0.32,0.78,0.0,1.0,6.7
572,1479.0,0.16,0.67,25.0,5.0,9.0
573,1479.0,0.16,0.67,25.0,10.0,10.5
574,1479.0,0.16,0.67,25.0,15.0,11.5
575,1479.0,0.16,0.67,25.0,20.0,12.0
576,1479.0,0.16,0.67,0.0,5.0,10.0
577,1479.0,0.16,0.67,0.0,10.0,11.0
578,1479.0,0.16,0.67,0.0,15.0,12.0
579,1479.0,0.16,0.67,0.0,20.0,12.0
580,2102.0,0.23,0.95,25.0,5.0,10.0
581,2102.0,0.23,0.95,25.0,10.0,13.0
582,2102.0,0.23,0.95,25.0,15.0,14.5
583,2102.0,0.23,0.95,25.0,20.0,15.5
584,2102.0,0.23,0.95,0.0,5.0,13.8
585,2102.0,0.23,0.95,0.0,10.0,16.2
586,2102.0,0.23,0.95,0.0,15.0,17.0
587,2102.0,0.23,0.95,0.0,20.0,17.5
588,2925.0,0.38,1.18,25.0,5.0,9.0
589,2925.0,0.38,1.18,25.0,10.0,13.5
590,2925.0,0.38,1.18,25.0,15.0,17.5
591,2925.0,0.38,1.18,25.0,20.0,19.5
592,2925.0,0.38,1.18,0.0,5.0,13.8
593,2925.0,0.38,1.18,0.0,10.0,20.0
594,2925.0,0.38,1.18,0.0,15.0,22.0
595,2925.0,0.38,1.18,0.0,20.0,25.5
596,2676.0,1.52,0.36,25.0,5.0,8.0
597,2676.0,1.52,0.36,25.0,10.0,12.5
598,2676.0,1.52,0.36,25.0,15.0,15.0
599,2676.0,1.52,0.36,25.0,20.0,17.5
600,2676.0,1.52,0.36,0.0,5.0,11.0
601,2676.0,1.52,0.36,0.0,10.0,17.5
602,2676.0,1.52,0.36,0.0,15.0,23.5
603,2676.0,1.52,0.36,0.0,20.0,25.5
604,1080.0,0.08,0.09,0.0,1.0,1.265
605,1080.0,0.08,0.09,25.0,1.0,1.12
606,1080.0,0.08,0.09,50.0,1.0,0.7959999999999999
607,1120.0,0.26,0.17,0.0,1.0,3.755
608,1120.0,0.26,0.17,25.0,1.0,2.634
609,1120.0,0.26,0.17,50.0,1.0,1.743
610,1120.0,0.26,0.17,0.0,0.5,2.75
611,1120.0,0.26,0.17,25.0,0.5,1.9
612,1120.0,0.26,0.17,50.0,0.5,1.2
613,1163.0,0.13,0.1,0.0,1.0,1.054
614,1163.0,0.13,0.1,25.0,1.0,0.6609999999999999
